ID;Код СМО в едином реестре ОМС;ОГРН;КПП;Полное наименование СМО;Краткое наименование СМО;Фактический адрес, заданный в строку;Фамилия руководителя;Имя руководителя;Отчество руководителя;Телефон (с кодом города);Факс (с кодом города);Телефон «горячей линии» СМО;Адрес электронной почты;Номер лицензии СМО;Дата выдачи лицензии СМО;Дата окончания действия лицензии СМО;Дата включения в реестр СМО;Дата исключения из реестра СМО
202;69011;1027806865481;695043001;"ФИЛИАЛ ООО ""КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ"" В ТВЕРСКОЙ ОБЛАСТИ";"ФИЛИАЛ ООО ""КАПИТАЛ МС"" В ТВЕРСКОЙ ОБЛАСТИ";ТВЕРСКАЯ ОБЛАСТЬ, Г.ТВЕРЬ, УЛ. АЛЕКСАНДРА ПОПОВА Д.4.;ВАХРОВА;НАДЕЖДА;ВЛАДИМИРОВНА;8-4822-581441;8-4822-581441;8-800-3501326;OMS.TVER@KAPMED.RU;ОС № 3676-01;16.11.2018;31.12.2099;01.01.2011;
203;69013;1045207042528;695202001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ КОМПАНИЯ ""ИНГОССТРАХ-М""";"ООО ""СК ""ИНГОССТРАХ-М""";ТВЕРСКАЯ ОБЛАСТЬ Г.ТВЕРЬ ПРОСПЕКТ ЧАЙКОВСКОГО ДОМ 2;КОРНЕВА;ЕЛЕНА;ВЛАДИМИРОВНА;8-4822-507549;8-4822-507552;8-800-7077249;INGOSSTV@MAIL.RU;ОС № 3837-01;09.09.2019;31.12.2099;01.01.2011;
204;69016;1047100775963;695043004;"ТВЕРСКОЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФАСТРАХОВАНИЕ-ОМС""";"ТВЕРСКОЙ ФИЛИАЛ ООО ""АЛЬФАСТРАХОВАНИЕ-ОМС""";ТВЕРСКАЯ ОБЛАСТЬ, Г.ТВЕРЬ, ПР.ЧАЙКОВСКОГО, Д. 2;КАРГИНОВА;ЖАННА;АЛЕКСАНДРОВНА;8-4822-579191;8-4822-579494;8-800-5551001;KARGINOVAJA@ALFASTRAH.RU;ОС № 0193-01;03.08.2017;31.12.2099;01.01.2011;
205;70010;1027739099772;701702001;"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""МЕДИЦИНСКАЯ АКЦИОНЕРНАЯ СТРАХОВАЯ КОМПАНИЯ"" В ГОРОДЕ ТОМСКЕ";"ФИЛИАЛ АО ""МАКС-М"" В Г. ТОМСКЕ";ТОМСКАЯ ОБЛАСТЬ, Г ТОМСК, УЛ. КРАСНОАРМЕЙСКАЯ, 68/1;КОЗЛОВ;ВИКТОР;ГЕОРГИЕВИЧ;8-3822-497124;8-3822-497124;8-800-5558803;TOMSK_OMS@MAKCM.RU, KOZLOVVG@MAKCM.RU;ОС №2226-01;23.01.2017;31.12.2099;01.01.2011;
206;70012;1027739008440;701743001;"ТОМСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"ТОМСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";ТОМСКАЯ ОБЛАСТЬ, Г. ТОМСК, ПР.КИРОВА,58;ПАХТУСОВА;АННА;НИКОЛАЕВНА;8-3822-480459;8-3822-480459;8-800-1000702;TOMSK@SOGAZ-MED.RU;ОС №3230-01;28.02.2019;31.12.2099;01.01.2011;
207;71001;1047100775963;710743001;"ТУЛЬСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФАСТРАХОВАНИЕ-ОМС""";"ТУЛЬСКИЙ ФИЛИАЛ ООО ""АЛЬФАСТРАХОВАНИЕ-ОМС""";ТУЛЬСКАЯ ОБЛАСТЬ, Г. ТУЛА, УЛ. Ф. ЭНГЕЛЬСА, Д. 6;КОРНЕЕВ;АЛЕКСАНДР;АЛЕКСЕЕВИЧ;8-4872-700299;8-4872-700299;8-800-5551001;KORNEEVAA@ALFASTRAH.RU;0193-01;03.08.2017;31.12.2099;01.01.2011;
208;71004;1027806865481;710443001;"ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ"" В ТУЛЬСКОЙ ОБЛАСТИ";"ФИЛИАЛ ООО ""КАПИТАЛ МС"" В ТУЛЬСКОЙ ОБЛАСТИ";Г. ТУЛА, УЛ. ДЕМОНСТРАЦИИ, Д. 2-Г, ОФИС 33;ИЛЬИНА;МАРИНА;ЛЕОНИДОВНА;8-4872-555394;8-4872-557295;8-800-1008102;OMS.TULA@KAPMED.RU;ОС №3676-01;16.11.2018;31.12.2099;12.08.2015;
209;72002;1027739008440;720343001;"ТЮМЕНСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"ТЮМЕНСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";РОССИЙСКАЯ ФЕДЕРАЦИЯ, Г. ТЮМЕНЬ, УЛ. РЕСПУБЛИКИ, Д.14/7, ОФИС 3;ФРОЛОВА;ЛЮДМИЛА;АЛЕКСАНДРОВНА;8-3452-461280;8-3452-461280;8-800-1000702;TUMEN@SOGAZ-MED.RU;ОС № 3230 - 01;28.02.2019;31.12.2099;01.01.2011;
210;72007;1027806865481;720302001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ"" (ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ"" В ТЮМЕНСКОЙ ОБЛАСТИ)";"ООО ""КАПИТАЛ МС"" (ФИЛИАЛ ООО ""КАПИТАЛ МС"" В ТЮМЕНСКОЙ ОБЛАСТИ)";РОССИЙСКАЯ ФЕДЕРАЦИЯ, ТЮМЕНСКАЯ ОБЛАСТЬ, Г. ТЮМЕНЬ, УЛ. 50 ЛЕТ ОКТЯБРЯ,36, К.1;БУЛАТОВА;НАТАЛЬЯ;СЕРГЕЕВНА;8-3452-790039;8-3452-790039;8-800-1008102;TYUMEN@KAPMED.RU, TYUMEN@KAPMED.RU;ОС № 3676-01;16.11.2018;31.12.2099;01.09.2015;
211;72008;1047100775963;720343001;"ТЮМЕНСКИЙ ФИЛИАЛ ООО ""АЛЬФАСТРАХОВАНИЕ - ОМС""";"ТЮМЕНСКИЙ ФИЛИАЛ ООО ""АЛЬФАСТРАХОВАНИЕ - ОМС""";РОССИЙСКАЯ ФЕДЕРАЦИЯ, ТЮМЕНСКАЯ ОБЛАСТЬ, Г. ТЮМЕНЬ, УЛ. СОВЕТСКАЯ, Д. 65/2;КРЕМЛЕВА;НАТАЛЬЯ;ОЛЕГОВНА;8-3452-568102;8-3452-568102;8-800-5551001;KREMLEVANO@ALFASTRAH.RU;ОС № 0193-01;03.08.2017;31.12.2099;01.09.2015;
212;73060;1027806865481;732543002;"ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ"" В УЛЬЯНОВСКОЙ ОБЛАСТИ";"ФИЛИАЛ ООО ""КАПИТАЛ МС"" В УЛЬЯНОВСКОЙ ОБЛАСТИ";Г. УЛЬЯНОВСК, УЛ ЛЕНИНА, ДОМ 89;МУХАМЕТШИНА;ЛЮДМИЛА;ВИКТОРОВНА;8-8422-384713;8-8422-384713;8-8001-008101;KAPITALMS_73@KAPMED.RU, MUHAMETSHINA.LYUDMILA@KAPM;ОС №3676-01;16.11.2018;31.12.2099;01.01.2011;
213;73063;1177746612581;732543001;УЛЬЯНОВСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ВТБ МЕДИЦИНСКОЕ СТРАХОВАНИЕ;УЛЬЯНОВСКИЙ ФИЛИАЛ ООО ВТБ МС;Г.УЛЬЯНОВСК, УЛ. КРАСНОГВАРДЕЙСКАЯ, ДОМ 25;БАРАНЕНКОВА;ЕЛЕНА;ВАЛЕНТИНОВНА;8-8422-371085;8-8422-371085;8-8001-008005;ULYANOVSK@VTBMS.RU;ОС № 2890-01;14.09.2017;31.12.2099;18.05.2017;25.03.2020
214;73064;1027739008440;732543001;"УЛЬЯНОВСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"УЛЬЯНОВСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";УЛЬЯНОВСКАЯ ОБЛАСТЬ, ГОРОД УЛЬЯНОВСК, УЛИЦА КРАСНОГВАРДЕЙСКАЯ, ДОМ 25;БАРАНЕНКОВА;ЕЛЕНА;ВАЛЕНТИНОВНА;8-8422-371085;8-8422-371085;8-8001-000702;ULYANOVSK@SOGAZ-MED.RU;ОС № 3230-01;28.02.2019;31.12.2099;14.06.2018;
215;74003;1027402236620;745501001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ ""АСТРА-МЕТАЛЛ""";"ООО СМК ""АСТРА-МЕТАЛЛ""";ЧЕЛЯБИНСКАЯ ОБЛАСТЬ, ГОРОД МАГНИТОГОРСК, УЛИЦА ЗАВЕНЯГИНА, 1, 2;ПАНОВ;АНТОН;ЮРЬЕВИЧ;8-3519-282858;8-3519-282859;8-800-2500160;ASTRAM@ASTRAMETALL.RU;ОС № 0758-01;09.06.2015;31.12.2099;01.01.2011;
216;74030;1025004642519;744743001;"ЧЕЛЯБИНСКИЙ ФИЛИАЛ ООО ""СМК РЕСО-МЕД""";"ЧЕЛЯБИНСКИЙ ФИЛИАЛ ООО ""СМК РЕСО-МЕД""";ОБЛАСТЬ ЧЕЛЯБИНСКАЯ, ГОРОД ЧЕЛЯБИНСК, УЛИЦА ТРУДА, ДОМ 187;КОРМИШКИН;СЕРГЕЙ;ВАСИЛЬЕВИЧ;8-351-2779235;8-351-2779235;8-800-2009204;SEKRETAR@CHEL.RESO-MED.COM;ОС № 0879-01;29.08.2019;31.12.2099;01.01.2011;
217;74036;1045207042528;745343001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ КОМПАНИЯ ""ИНГОССТРАХ-М"", ФИЛИАЛ В Г. ЧЕЛЯБИНСК";"ООО ""СК ""ИНГОССТРАХ-М"", ФИЛИАЛ В Г. ЧЕЛЯБИНСК";ОБЛАСТЬ ЧЕЛЯБИНСКАЯ, ГОРОД ЧЕЛЯБИНСК, УЛИЦА СВОБОДЫ, 153 А, ОФИС 300;ВОСТРИКОВА;ЛАРИСА;АЛЕКСАНДРОВНА;8-351-2181901;8-351-2181905;8-800-3001003;LARISA.VOSTRIKOVA@INGOS.RU;ОС № 3837-01;09.09.2019;31.12.2099;01.01.2011;
218;74039;1027739008440;668543002;"ЕКАТЕРИНБУРГСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"ЕКАТЕРИНБУРГСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";ОБЛАСТЬ СВЕРДЛОВСКАЯ, ГОРОД ЕКАТЕРИНБУРГ, УЛИЦА КУЙБЫШЕВА, ДОМ 95;ИСТОМИН;АЛЕКСАНДР;НИКОЛАЕВИЧ;8-343-3178858;8-343-3178858;8-800-1000702;ISTOMIN.ALEXANDR@SOGAZ-MED.RU;ОС № 3230-01;28.02.2019;31.12.2099;01.01.2011;
219;74057;1047100775963;745343001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФАСТРАХОВАНИЕ-ОМС"", ЧЕЛЯБИНСКИЙ ФИЛИАЛ";"ООО ""АЛЬФАСТРАХОВАНИЕ-ОМС"", ЧЕЛЯБИНСКИЙ ФИЛИАЛ";ОБЛАСТЬ ЧЕЛЯБИНСКАЯ, ГОРОД ЧЕЛЯБИНСК, УЛИЦА ЭНГЕЛЬСА, ДОМ 43;КОНОВАЛЕНКО;ЯНА;АЛЕКСАНДРОВНА;8-351-2253517;8-351-2253517;8-800-5551001;KONOVALENKOYA@ALFASTRAH.RU;ОС № 0193-01;03.08.2017;31.12.2099;07.08.2013;
220;75001;1027501157386;753601001;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ЗАБАЙКАЛЬСКОГО КРАЯ ""ГОСУДАРСТВЕННАЯ СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ ""ЗАБАЙКАЛМЕДСТРАХ""";"ГК ""ЗАБАЙКАЛМЕДСТРАХ""";ЗАБАЙКАЛЬСКИЙ КРАЙ, Г.ЧИТА, УЛ. ЛЕРМОНТОВА, 2;ШЕЛЕХОВА;НАТАЛЬЯ;ВЛАДИМИРОВНА;8-3022-210143:4051;8-3022-210143:99;8-800-1001360;MAIL@ZMS.CHITA.RU;ОС № 2456-01;03.06.2015;31.12.2099;01.01.2011;
221;75003;1027739449913;753643001;"ФИЛИАЛ ""ЧИТИНСКИЙ"" АКЦИОНЕРНОГО ОБЩЕСТВА ""СТРАХОВАЯ ГРУППА ""СПАССКИЕ ВОРОТА-М""";"ФИЛИАЛ ""ЧИТИНСКИЙ"" АО ""СТРАХОВАЯ ГРУППА ""СПАССКИЕ ВОРОТА-М""";ЗАБАЙКАЛЬСКИЙ КРАЙ, Г.ЧИТА, УЛ. БАЛЯБИНА, 13 ОФИС 414;СКЛЯР;АНАСТАСИЯ;ВАЛЕНТИНОВНА;8-3022-239692;8-3022-239692;8-3022-239692;NOVIKOV_PP@MAIL.RU;ОС № 2354-01;13.04.2020;31.12.2099;01.01.2011;
222;76001;1025004642519;760643001;"ЯРОСЛАВCКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ РЕСО-МЕД""";"ЯРОСЛАВСКИЙ ФИЛИАЛ ООО ""СМК РЕСО-МЕД""";Г. ЯРОСЛАВЛЬ, ПРОСПЕКТ ОКТЯБРЯ, Д.56, 2 ЭТАЖ, ОФИС 211А;ЖУКОВА;ОЛЬГА;НИКОЛАЕВНА;8-4852-733277;8-4852-729293;8-800-2009204;ZHON@RESO-MED.COM;ОС№0879-01;29.08.2019;29.08.2099;10.05.2011;
223;76003;1027739008440;760443001;"ЯРОСЛАВСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"ЯРОСЛАВСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";Г. ЯРОСЛАВЛЬ, УЛ. РЫБИНСКАЯ, Д.11/26, ОФИС 2;ЩЕГОЛЕВ;АЛЕКСАНДР;ВЛАДИМИРОВИЧ;8-4852-205125;8-4852-988553;8-800-1000702;YAROSLAVL@SOGAZ-MED.RU;ОС № 3230-01;28.02.2019;28.02.2099;10.05.2011;
224;76004;1027806865481;760443003;"ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ"" В ЯРОСЛАВСКОЙ ОБЛАСТИ";"ФИЛИАЛ ООО ""КАПИТАЛ МС"" В ЯРОСЛАВСКОЙ ОБЛАСТИ";Г. ЯРОСЛАВЛЬ, УЛ.СОВЕТСКАЯ, Д.30;ЖЕЛТКЕВИЧ;ИГОРЬ;СЕРГЕЕВИЧ;8-4852-205130;8-4852-328004;8-800-8800100;OMS.YAROSLAVL@KAPMED.RU;ОС№3676-01;16.11.2018;16.11.2099;10.05.2011;
225;76006;1045207042528;760643001;"ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ КОМПАНИЯ ""ИНГОССТРАХ-М"" В Г. ЯРОСЛАВЛЬ";"ФИЛИАЛ ООО ""СК ""ИНГОССТРАХ-М"" В Г. ЯРОСЛАВЛЬ";Г. ЯРОСЛАВЛЬ, УЛ. САЛТЫКОВА-ЩЕДРИНА, Д.36/48;ОСИПЕНКО;ЮЛИЯ;ВЛАДИМИРОВНА;8-4852-720654;8-4852-720654;8-800-1007755;YULIYA.ROZOVA@YAROSLAVL.INGOS.RU;ОС№3837-01;09.09.2019;09.09.2099;10.05.2011;
226;77004;1027739099772;770501001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕДИЦИНСКАЯ АКЦИОНЕРНАЯ СТРАХОВАЯ КОМПАНИЯ""";"АО ""МАКС-М""";Г.МОСКВА, ОРДЫНКА МАЛАЯ УЛИЦА, ДОМ 50;МАРТЬЯНОВА;НАДЕЖДА;ВАСИЛЬЕВНА;8-495-2760010, 8-499-3239700;8-495-9511901;8-495-7864531;MSK@MAKCM.RU;ОС 2226-01;23.01.2017;30.12.2099;01.01.2011;
227;77005;1047744005022;770801001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИЦИНСКАЯ СТРАХОВАЯ КОМПАНИЯ ""МЕДСТРАХ""";"ООО ""МСК ""МЕДСТРАХ""";Г.МОСКВА, КРАСНОСЕЛЬСКАЯ ВЕРХНЯЯ УЛИЦА, ДОМ 20, СТРОЕНИЕ 1;МЕДВЕДЕВ;ВАЛЕРИЙ;ИВАНОВИЧ;8-495-7772323, 8-499-3727915;8-495-7772323;8-495-7772323;MEDVEDEV@MEDSTRAKH.RU;ОС № 0484 - 01;05.03.2018;30.12.2099;01.01.2011;
228;77006;1027739449913;772701001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРАХОВАЯ ГРУППА ""СПАССКИЕ ВОРОТА-М""";"АО ""СГ ""СПАССКИЕ ВОРОТА-М""";Г.МОСКВА, БОЛОТНИКОВСКАЯ УЛИЦА, ДОМ 53, КОРПУС 1;КАЗАКОВА;ВИКТОРИЯ;БОРИСОВНА;8-495-7751790;8-495-7751791;8-495-7751799;MAIL@SV-M.RU;ОС 2354 01;13.04.2020;30.12.2099;29.05.2012;
229;77007;1177746612581;772301001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ВТБ МЕДИЦИНСКОЕ СТРАХОВАНИЕ;ООО ВТБ МС;Г.МОСКВА, 2-Й ЮЖНОПОРТОВЫЙ ПРОЕЗД, ДОМ 27А, СТРОЕНИЕ 1;ГЕРГЕСОВ;ИЛЬЯ;МИХАЙЛОВИЧ;8-495-9562105, 8-495-6444404;8-495-6885310, 8-495-6444404;8-800-1008005;"VTBMS@VTBMS.RU;MRD@VTBMS.RU";ОС 2890 01;14.09.2017;30.12.2099;01.01.2011;26.03.2020
230;77008;1025004642519;772243001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ РЕСО-МЕД"" (МОСКОВСКИЙ ФИЛИАЛ)";"ООО ""СМК РЕСО-МЕД"" (МОСКОВСКИЙ ФИЛИАЛ)";Г.МОСКВА, ОДЕССКАЯ УЛИЦА СТ 2 КОРП 2;КИРСАНОВ;АЛЕКСАНДР;НИКОЛАЕВИЧ;8-499-3737915;8-499-3727916;8-800-2009204;"OFFICE@RESO-MED.COM;MF@RESO-MED.COM";ОС 0879 01;29.08.2019;30.12.2099;01.01.2011;
231;77012;1027739008440;770801001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";Г.МОСКВА, НАМЕТКИНА УЛИЦА, ДОМ 16;БУРОВ;ДМИТРИЙ;СЕРГЕЕВИЧ;8-495-2252310;8-495-2252311;8-800-1000702;TOE@SOGAZ-MED.RU;ОС 3230 - 01;28.02.2019;31.12.2099;01.01.2012;
232;77013;1045207042528;775001001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ КОМПАНИЯ ""ИНГОССТРАХ-М""";"ООО ""СК ""ИНГОССТРАХ-М""";Г.МОСКВА, УЛИЦА РОЧДЕЛЬСКАЯ, ДОМ 15, СТР.ОЕНИЕ 35;КУРБАТОВА;НАТАЛЬЯ;АНАТОЛЬЕВНА;8-495-7295571;8-495-7295571;8-495-2323491;INGOS-M@INGOS.RU;ОC 3837 01;09.09.2019;30.12.2099;01.01.2012;
233;77015;1027806865481;773001001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ"" (ФИЛИАЛ ООО ""КАПИТАЛ МС"" В Г. МОСКВЕ)";"ООО ""КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ""";Г.МОСКВА, УЛИЦА БОЛЬШАЯ ТАТАРСКАЯ, ДОМ 13, СТРОЕНИЕ 19;ВОРОНЬЖЕВА;ИРИНА;ИВАНОВНА;8-499-1427334;8-499-1427334;8-800-1008101;IRINA.VORONZHEVA@KAPMED.RU;ОС 3676 01;16.11.2018;30.12.2099;24.08.2012;
234;78003;1027809172489;783501001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОРОДСКАЯ СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ""";"АО ""ГСМК""";САНКТ-ПЕТЕРБУРГ, КУЗНЕЧНЫЙ ПЕР., Д. 2-4;ЕГОРОВА;ОЛЬГА;ВИКТОРОВНА;8-812-7641046;8-812-3128154;8-800-1002344;MAIL@GSMK.RU;ОС № 2071-01;06.10.2017;31.12.2099;01.01.2011;
235;78004;1027810220382;783543001;"САНКТ-ПЕТЕРБУРГСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""КАПИТАЛ-ПОЛИС МЕДИЦИНА""";"САНКТ-ПЕТЕРБУРГСКИЙ ФИЛИАЛ ООО СК ""КАПИТАЛ-ПОЛИС МЕД""";САНКТ-ПЕТЕРБУРГ, МОСКОВСКИЙ ПР., Д.22, ЛИТЕР З, ПОМ. 4-Н;ОВСЯННИКОВА;ЛЮДМИЛА;НИКОЛАЕВНА;8-812-3371511, 8-812-3250005;8-812-3371511, 8-812-3250005;8-800-5114740;OMSDEP@CAPITALPOLIS.RU;ОС № 2875 - 01;26.02.2018;31.12.2099;01.01.2011;
236;78005;1027739099772;784243001;"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""МЕДИЦИНСКАЯ АКЦИОНЕРНАЯ СТРАХОВАЯ КОМПАНИЯ"" В ГОРОДЕ САНКТ-ПЕТЕРБУРГЕ";"ФИЛИАЛ АО ""МАКС-М"" В Г. САНКТ-ПЕТЕРБУРГЕ";САНКТ-ПЕТЕРБУРГ, УЛ. ТАВРИЧЕСКАЯ, Д. 2А, ЛИТ. А;БЕЛЯЕВА;ОЛЬГА;ПАВЛОВНА;8-812-3252065, 8-812-3251788;8-812-3252065, 8-812-3251788;8-800-3330503;OBELYAEVA@MAKCM.RU, KHAPERSKAYAAV@MAKCM.RU;ОС № 2226-01;23.01.2017;31.12.2099;01.01.2011;
237;78006;1025004642519;781443002;"САНКТ-ПЕТЕРБУРГСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ РЕСО-МЕД""";"САНКТ-ПЕТЕРБУРГСКИЙ ФИЛИАЛ ООО ""СМК РЕСО-МЕД""";САНКТ-ПЕТЕРБУРГ, УЛ. ГАККЕЛЕВСКАЯ, Д. 21А;МИХАЙЛОВ;ФЁДОР;ВИКТОРОВИЧ;8-812-2002118;8-812-2002117;8-800-2009204;OMS@RESO-MED.RU;ОС № 0879-01;29.08.2019;31.12.2099;01.01.2011;
238;78007;1027806865481;781343001;"ФИЛИАЛ ООО ""КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ"" В Г. САНКТ-ПЕТЕРБУРГЕ И ЛЕНИНГРАДСКОЙ ОБЛАСТИ";"ФИЛИАЛ ООО ""КАПИТАЛ МС"" В Г. САНКТ-ПЕТЕРБУРГЕ И ЛЕНИНГРАДСКОЙ ОБЛАСТИ";САНКТ-ПЕТЕРБУРГ, МАЛЫЙ ПР. П.С., Д. 7;УСАЧЕВСКАЯ;ИРИНА;ВИТАСОВНА;8-812-3256774;8-812-3209677;8-800-1008102;SMK-INFO@KAPMED.RU;ОС № 3676-01;16.11.2018;31.12.2099;01.01.2011;
239;78008;1177746612581;781343001;САНКТ-ПЕТЕРБУРГСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ВТБ МЕДИЦИНСКОЕ СТРАХОВАНИЕ;САНКТ-ПЕТЕРБУРГСКИЙ ФИЛИАЛ ООО ВТБ МС;САНКТ-ПЕТЕРБУРГ, УЛ. ЛАХТИНСКАЯ, Д.16, ЛИТЕР А;БУЗИНОВ;АРТЕМ;РОМАНОВИЧ;8-812-4492587;8-812-4492587;8-800-1008005;SPETERBURG-MS@VTBMS.RU;ОС № 2890-01;14.09.2017;31.12.2099;01.01.2011;26.03.2020
240;78010;1027739008440;781343001;"САНКТ-ПЕТЕРБУРГСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"САНКТ-ПЕТЕРБУРГСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";САНКТ-ПЕТЕРБУРГ, УЛ. ЛАХТИНСКАЯ, Д. 16, ЛИТЕР А, ПОМЕЩЕНИЕ 6-Н;ЯГОДИНА;ОЛЕСЯ;НИКОЛАЕВНА;8-812-3247986;8-812-3247986;8-800-1000702;YAGODINAON@SOGAZ-MED.RU, SPBURG@SOGAZ-MED.RU;ОС № 3230-01;28.02.2019;31.12.2099;01.01.2011;
241;79002;1027739449913;790102002;"ФИЛИАЛ ""БИРОБИДЖАНСКИЙ"" АКЦИОНЕРНОГО ОБЩЕСТВА ""СТРАХОВАЯ ГРУППА ""СПАССКИЕ ВОРОТА - М""";"ФИЛИАЛ ""БИРОБИДЖАНСКИЙ"" АО ""СТРАХОВАЯ ГРУППА ""СПАССКИЕ ВОРОТА - М""";Г. БИРОБИДЖАН, УЛ. ШОЛОМ-АЛЕЙХЕМА,Д. 53;ШЕПТУР;АРТУР;АЛЕКСАНДРОВИЧ;8-42622-21832;8-42622-21832;8-800-7700799;SV-M-BIR@MAIL.RU;ОС № 2354 - 01;13.04.2020;08.09.2099;01.01.2011;
